Elizabeth 04,M 75.5 309.5 L 75.5 346.5 L 112.5 346.5 L 112.5 335.5 L 87.5 335.5 L 86.5 334.5 L 86.5 309.5 z
Elizabeth 03,M 62.5 309.5 L 62.5 321.5 L 61.5 322.5 L 49.5 322.5 L 49.5 346.5 L 61.5 346.5 L 62.5 347.5 L 62.5 359.5 L 73.5 359.5 L 73.5 309.5 z
East Piedmont 01,M 49.5 309.5 L 49.5 320.5 L 60.5 320.5 L 60.5 309.5 z
JC12,M 504.5 296.5 L 504.5 307.5 L 516.5 307.5 L 517.5 308.5 L 517.5 320.5 L 541.5 320.5 L 541.5 296.5 z
JC13B,M 491.5 296.5 L 491.5 307.5 L 502.5 307.5 L 502.5 296.5 z
SS25,M 439.5 296.5 L 439.5 320.5 L 450.5 320.5 L 450.5 308.5 L 451.5 307.5 L 463.5 307.5 L 463.5 296.5 z
SS01,M 387.5 296.5 L 387.5 308.5 L 386.5 309.5 L 374.5 309.5 L 374.5 320.5 L 424.5 320.5 L 424.5 296.5 z
Mount Bethel 01,M 244.5 296.5 L 244.5 321.5 L 243.5 322.5 L 231.5 322.5 L 231.5 333.5 L 268.5 333.5 L 268.5 321.5 L 269.5 320.5 L 281.5 320.5 L 281.5 296.5 z
Dodgen 01,M 179.5 296.5 L 179.5 320.5 L 191.5 320.5 L 192.5 321.5 L 192.5 333.5 L 203.5 333.5 L 203.5 296.5 z
Marietta 6B,M 75.5 296.5 L 75.5 307.5 L 87.5 307.5 L 88.5 308.5 L 88.5 333.5 L 112.5 333.5 L 112.5 309.5 L 100.5 309.5 L 99.5 308.5 L 99.5 296.5 z
SS20,M 322.5 283.5 L 322.5 320.5 L 333.5 320.5 L 333.5 308.5 L 334.5 307.5 L 346.5 307.5 L 346.5 296.5 L 334.5 296.5 L 333.5 295.5 L 333.5 283.5 z
SS19A,M 296.5 283.5 L 296.5 295.5 L 295.5 296.5 L 283.5 296.5 L 283.5 320.5 L 294.5 320.5 L 294.5 308.5 L 295.5 307.5 L 320.5 307.5 L 320.5 296.5 L 308.5 296.5 L 307.5 295.5 L 307.5 283.5 z
Elizabeth 05,M 114.5 283.5 L 114.5 295.5 L 113.5 296.5 L 101.5 296.5 L 101.5 307.5 L 113.5 307.5 L 114.5 308.5 L 114.5 320.5 L 125.5 320.5 L 125.5 308.5 L 126.5 307.5 L 138.5 307.5 L 138.5 283.5 z
JC11,M 491.5 270.5 L 491.5 281.5 L 503.5 281.5 L 504.5 282.5 L 504.5 294.5 L 554.5 294.5 L 554.5 283.5 L 529.5 283.5 L 528.5 282.5 L 528.5 270.5 z
JC13A,M 478.5 270.5 L 478.5 282.5 L 477.5 283.5 L 465.5 283.5 L 465.5 307.5 L 476.5 307.5 L 476.5 295.5 L 477.5 294.5 L 502.5 294.5 L 502.5 283.5 L 490.5 283.5 L 489.5 282.5 L 489.5 270.5 z
RW21,M 413.5 270.5 L 413.5 282.5 L 412.5 283.5 L 400.5 283.5 L 400.5 294.5 L 425.5 294.5 L 426.5 295.5 L 426.5 320.5 L 437.5 320.5 L 437.5 295.5 L 438.5 294.5 L 450.5 294.5 L 450.5 283.5 L 425.5 283.5 L 424.5 282.5 L 424.5 270.5 z
