SS08C,M 307.5 387.5 L 307.5 398.5 L 318.5 398.5 L 318.5 387.5 z
SS07A,M 268.5 387.5 L 268.5 398.5 L 292.5 398.5 L 292.5 387.5 z
SS03,M 255.5 387.5 L 255.5 411.5 L 279.5 411.5 L 279.5 400.5 L 267.5 400.5 L 266.5 399.5 L 266.5 387.5 z
DUNWOODY,M 357.5 385.5 L 357.5 410.5 L 356.5 411.5 L 344.5 411.5 L 344.5 422.5 L 368.5 422.5 L 368.5 410.5 L 369.5 409.5 L 394.5 409.5 L 394.5 398.5 L 369.5 398.5 L 368.5 397.5 L 368.5 385.5 z
Sope Creek 03,M 192.5 375.5 L 192.5 387.5 L 191.5 388.5 L 179.5 388.5 L 179.5 412.5 L 190.5 412.5 L 190.5 400.5 L 191.5 399.5 L 216.5 399.5 L 216.5 375.5 z
Powers Ferry 01,M 88.5 375.5 L 88.5 386.5 L 99.5 386.5 L 99.5 375.5 z
SS05,M 242.5 374.5 L 242.5 398.5 L 253.5 398.5 L 253.5 386.5 L 254.5 385.5 L 279.5 385.5 L 279.5 374.5 z
TILLY MILL ROAD,M 461.5 372.5 L 461.5 384.5 L 460.5 385.5 L 448.5 385.5 L 448.5 396.5 L 472.5 396.5 L 472.5 372.5 z
DUNWOODY HIGH,M 422.5 372.5 L 422.5 384.5 L 421.5 385.5 L 409.5 385.5 L 409.5 396.5 L 446.5 396.5 L 446.5 372.5 z
MT. VERNON WEST,M 396.5 372.5 L 396.5 384.5 L 395.5 385.5 L 383.5 385.5 L 383.5 396.5 L 395.5 396.5 L 396.5 397.5 L 396.5 409.5 L 407.5 409.5 L 407.5 384.5 L 408.5 383.5 L 420.5 383.5 L 420.5 372.5 z
SS02B,M 268.5 361.5 L 268.5 372.5 L 292.5 372.5 L 292.5 361.5 z
SS18A,M 255.5 361.5 L 255.5 372.5 L 266.5 372.5 L 266.5 361.5 z
Mount Bethel 04,M 179.5 349.5 L 179.5 386.5 L 190.5 386.5 L 190.5 374.5 L 191.5 373.5 L 216.5 373.5 L 216.5 349.5 z
Sope Creek 01,M 153.5 349.5 L 153.5 373.5 L 165.5 373.5 L 166.5 374.5 L 166.5 386.5 L 177.5 386.5 L 177.5 349.5 z
Eastside 02,M 114.5 349.5 L 114.5 373.5 L 126.5 373.5 L 127.5 374.5 L 127.5 386.5 L 164.5 386.5 L 164.5 375.5 L 152.5 375.5 L 151.5 374.5 L 151.5 349.5 z
SS29A,M 320.5 348.5 L 320.5 373.5 L 319.5 374.5 L 307.5 374.5 L 307.5 385.5 L 331.5 385.5 L 331.5 360.5 L 332.5 359.5 L 344.5 359.5 L 344.5 348.5 z
SS04,M 307.5 348.5 L 307.5 360.5 L 306.5 361.5 L 294.5 361.5 L 294.5 373.5 L 293.5 374.5 L 281.5 374.5 L 281.5 385.5 L 293.5 385.5 L 294.5 386.5 L 294.5 398.5 L 305.5 398.5 L 305.5 373.5 L 306.5 372.5 L 318.5 372.5 L 318.5 348.5 z
SS02A,M 281.5 348.5 L 281.5 359.5 L 305.5 359.5 L 305.5 348.5 z
SS18B,M 268.5 348.5 L 268.5 359.5 L 279.5 359.5 L 279.5 348.5 z
WINTERS CHAPEL,M 474.5 346.5 L 474.5 383.5 L 485.5 383.5 L 485.5 346.5 z
